country,area,percent
Nicaragua,2.77096904221963,5.08532094932042
Niger,1.92517696059246,2.54233748714942
Nigeria,2.78220236435459,2.73619013182697
Norway,14.7291925064536,16.3030334033612
Oman,2.72683408135456,2.31436660229868
Pakistan,3.83981204932962,4.48490178078671
Panama,4.15844106221741,7.55510677208711
Papua New Guinea,2.70481858983263,3.64506791501075
Paraguay,3.82241882897414,6.02042228795718
Peru,3.64892920839305,6.82514406961784
Philippines,3.21266119807495,4.57191256718106
Poland,10.2096917786207,15.6116365286853
Portugal,11.4941063357312,20.7386341549285
Puerto Rico,7.90087810191202,14.5049932929166
Qatar,1.56764607306446,1.08976727748385
Romania,10.1920040495364,16.9997204253178
Russian,10.287298063266,13.4886241107355
Rwanda,2.3514817780247,2.80876659661812
Saudi Arabia,3.01671385917848,3.05330228869888
Senegal,2.65450378944063,2.99474647582819
Serbia,,16.3052801402735
Sierra Leone,3.09644412129049,2.50187058908875
Singapore,4.72575361777999,11.6861496348321
Slovakia,10.4842546056612,14.0572954182859
Slovenia,11.3791148124806,18.0347100523041
Somalia,3.19161784182292,2.68713354614413
Somaliland,3.19,2.69
South Africa,3.5138388770796,5.0812402872246
South Sudan,2.59203387553919,3.46988117288003
Spain,11.0818972878521,18.877525816817
Sri Lanka,4.36116174562991,9.29896823603701
Sudan,2.92940160198871,3.45567120594151
Suriname,4.39829426893105,6.67976601929112
Swaziland,2.73297401934462,3.10945094468507
Sweden,16.3212702514015,19.5977493876468
Switzerland,13.8149568263265,17.996581395469
Syria,2.96472623761389,4.04024299563165
Tajikistan,4.59595438433784,3.32188084412383
United Republic of Tanzania,2.6165545790789,3.11031614223449
Thailand,3.74641954007573,10.5647357320967
The Bahamas,4.15121925748003,8.30606093506842
Togo,2.9182175057032,2.78926146336386
Trinidad and Tobago,5.47383784142382,9.41178979069063
Tunisia,3.91126677425388,7.60962210944608
Turkey,4.71506440990741,7.80175438632354
Turkmenistan,4.25329045247371,4.07461685692949
Uganda,2.63210444366885,2.1746788568502
Ukraine,11.820575201988,15.8867146416663
United Arab Emirates,1.43795376751754,1.02185835686872
United Kingdom,14.9658880512428,18.1215155172066
United States of America,11.5609985020568,14.6403434145212
Uruguay,10.5204168492937,14.4346056827931
Uzbekistan,5.15884696768028,4.23151830895259
Venezuela,3.18004869161171,6.25752725056487
Vietnam,5.33006805607701,6.74454773211183
Yemen,2.8141134711336,2.85702588035528
Zambia,2.67977307729533,2.50209510994848
Zimbabwe,2.97995358012063,2.82359298723222
